Benchmark, NVars, Approx count, Approx time, Approx max, Approx min,  (max-min)/max
quick_asb2305,1242,1503334.7,7.9122171878814695,1527655,1484655,0.02814771659831572
quick_assabet,1266,1610334.9,8.069212579727173,1626904,1576437,0.03102026917384185
quick_at91sam7sek,1296,1709332.5,7.605963611602784,1725237,1691873,0.019338792293464607
quick_at91sam7xek,1319,1673526.0,8.82324321269989,1695341,1658426,0.021774380493363873
quick_atlas_mips32_4kc,1216,1403296.3,8.447563076019287,1416947,1379400,0.02649852111617442
quick_atlas_mips64_5kc,1209,1390908.1,8.859738063812255,1400509,1375270,0.018021305111213137
quick_blasted_case1,187,53595.8,4.042623138427734,53841,53197,0.011961144852435875
quick_blasted_case10,328,89458.0,9.333116841316222,90507,88314,0.02423017004209619
quick_blasted_case100,72,7766.0,3.163928246498108,7766,7766,0.0
quick_blasted_case102,34,1811.0,0.39128010272979735,1811,1811,0.0
quick_blasted_case103,32,1690.0,0.28159780502319337,1690,1690,0.0
quick_blasted_case105,170,26732.8,7.954030513763428,27089,26362,0.026837461700321162
quick_blasted_case106,204,37734.1,8.181323385238647,38149,37387,0.019974311253243858
quick_blasted_case11,105,17538.4,3.3300857305526734,17677,17445,0.01312439893647112
quick_blasted_case112,137,23900.2,6.11699903011322,24096,23770,0.01352921646746348
quick_blasted_case120,284,74212.9,8.110352754592896,75601,73123,0.03277734421502361
quick_blasted_case121,291,64074.4,9.511098408699036,64673,63310,0.02107525551621233
quick_blasted_case122,314,87412.4,8.955805110931397,88207,86431,0.02013445644903466
quick_blasted_case123,267,70100.6,7.994717693328857,70945,69485,0.020579322010007752
quick_blasted_case124,133,27553.7,5.105452466011047,27673,27451,0.00802225996458642
quick_blasted_case125,393,136835.8,8.684061789512635,138995,135254,0.026914637217166085
quick_blasted_case126,302,91029.9,8.07837016582489,91851,90455,0.015198528050864989
quick_blasted_case127,36,2094.0,0.36946802139282225,2094,2094,0.0
quick_blasted_case134,60,4765.0,2.066460132598877,4765,4765,0.0
quick_blasted_case135,236,67746.1,5.8299185037612915,68843,66951,0.027482823235477825
quick_blasted_case14,247,58706.5,8.573010873794555,59337,57649,0.02844768019953823
quick_blasted_case140,488,169809.5,9.925041484832764,172655,165756,0.03995829834062147
quick_blasted_case145,219,54570.5,6.4390417575836185,54954,54086,0.01579502856934891
quick_blasted_case17,77,10145.0,1.4600082159042358,10145,10145,0.0
quick_blasted_case19,397,133685.2,8.956062841415406,135663,131366,0.031674074729292435
quick_blasted_case2,296,112368.0,5.869246697425842,113313,110975,0.020633113588026088
quick_blasted_case200,14,229.0,0.12469391822814942,229,229,0.0
quick_blasted_case203,214,43924.8,8.063433718681335,44240,43442,0.018037974683544303
