Benchmark,twise,seed,BLMMaxCov Time, ApproxMaxCov Time, Strategy 1 Time, Strategy 3 Time, Strategy 1 Coverage, Strategy 3 Coverage
buildroot.cnf,2,3,547.640323162079,535.101783514023,23.1942830085754,24.3497285842896,0.987982680638048,0.987982680638048
buildroot.cnf,2,4,547.640323162079,535.101783514023,23.1244287490845,26.2178039550781,0.987982680638048,0.987982680638048
buildroot.cnf,2,5,547.640323162079,535.101783514023,23.5069167613983,24.3824915885925,0.987982680638048,0.987982680638048
buildroot.cnf,2,6,547.640323162079,535.101783514023,22.6530141830444,21.6230738162994,0.987982680638048,0.987982680638048
buildroot.cnf,2,7,547.640323162079,535.101783514023,21.8132743835449,20.5594730377197,0.987982680638048,0.987982680638048
buildroot.cnf,2,8,547.640323162079,535.101783514023,22.1331045627594,20.6988353729248,0.987982680638048,0.987982680638048
buildroot.cnf,2,9,547.640323162079,535.101783514023,22.3658225536346,20.649242401123,0.987982680638048,0.987982680638048
buildroot.cnf,2,10,547.640323162079,535.101783514023,21.8402988910675,23.0918734073639,0.987982680638048,0.987982680638048
busybox_1_28_0.cnf,2,1,2266.57052016258,1029.12282204628,51.0162222385407,45.388751745224,0.994181747490996,0.993443842642045
busybox_1_28_0.cnf,2,2,2266.57052016258,1029.12282204628,47.3488121032715,42.6514596939087,0.993509490728607,0.993923735243811
busybox_1_28_0.cnf,2,3,2266.57052016258,1029.12282204628,50.5314075946808,33.3287882804871,0.993705926088397,0.99347743003517
busybox_1_28_0.cnf,2,4,2266.57052016258,1029.12282204628,51.7838339805603,31.5922255516052,0.993583281213502,0.993721193085272
busybox_1_28_0.cnf,2,5,2266.57052016258,1029.12282204628,49.3599665164948,37.2342240810394,0.993750200379334,0.993979714232352
busybox_1_28_0.cnf,2,6,2266.57052016258,1029.12282204628,50.451770067215,39.0260586738586,0.993762413976834,0.994233655280371
busybox_1_28_0.cnf,2,7,2266.57052016258,1029.12282204628,49.0302267074585,37.0756525993347,0.993552747219753,0.993527302224961
